epoch_number,mini_batch_number,score_loss,geometry_loss,loss
1,1,6.813901881171526,123.18167372881356,6.813901881171526
1,2,6.813901893259327,133.97139830508473,6.813901893259327
1,3,6.987083352924477,138.71177685950414,6.987083352924477
1,4,8.89190500912228,122.63514610389612,8.89190500912228
1,5,9.180486442793411,123.7181603773585,9.180486442793411
1,6,9.988475375726756,132.01806358381504,9.988475375726756
1,7,7.73750583384577,130.70382462686567,7.73750583384577
1,8,10.103897661486789,124.89357142857143,10.103897661486789
1,9,6.9293564882845615,135.696875,6.9293564882845615
1,10,8.199279604919054,128.7825704225352,8.199279604919054
2,1,9.41134629542502,127.94708588957056,9.41134629542502
2,2,7.4488876780154145,124.76647286821705,7.4488876780154145
2,3,7.27571325955125,132.99900793650792,7.27571325955125
2,4,8.083837925874288,123.10044642857143,8.083837925874288
2,5,8.19927960542075,129.26276408450704,8.19927960542075
2,6,7.79522858287905,133.43425925925928,7.79522858287905
2,7,7.795228582874495,132.13981481481483,7.795228582874495
2,8,8.545597594727273,127.3762668918919,8.545597594727273
2,9,8.545597595011888,132.95903716216216,8.545597595011888
2,10,8.545597594602878,126.93327702702703,8.545597594602878
3,1,8.257000004193305,128.96547202797203,8.257000004193305
3,2,8.314720109778978,119.55859375,8.314720109778978
3,3,8.487878663801121,128.75552721088434,8.487878663801121
3,4,7.448887677448454,141.4467054263566,7.448887677448454
3,5,7.622059452242984,141.77698863636365,7.622059452242984
3,6,7.968395069334279,120.01947463768116,7.968395069334279
3,7,8.14155891164377,116.96099290780141,8.14155891164377
3,8,9.699914505886095,134.20200892857142,9.699914505886095
3,9,8.257000004268889,128.81206293706293,8.257000004268889
3,10,7.44888767820104,130.99806201550388,7.44888767820104
4,1,9.122770741289695,125.90427215189874,9.122770741289695
4,2,8.5455975948394,128.42989864864865,8.5455975948394
4,3,7.564335821078579,128.10019083969465,7.564335821078579
4,4,7.679782790348646,118.80686090225564,7.679782790348646
4,5,7.217987867091054,120.37,7.217987867091054
4,6,7.217987866679071,131.2285,7.217987866679071
4,7,8.661034574194185,140.14125,8.661034574194185
4,8,7.160262177060703,139.13306451612902,7.160262177060703
4,9,7.56433582226458,128.6679389312977,7.56433582226458
